,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Perioperative Prophylaxis,,,,
,,,,
,,,,
,,,,
,,,,
"Clean surgeries (eg elective hernia repair, breast surgeries) ",Cefazolin/Cefuroxime,,,
Neurosurgery ,Cefazolin/Cefuroxime,,,
Ophthalmic Surgery ,"Topical quinolone, Immediate preoperative betadine, Systemic Cefazolin/cefuroxime",,,
Head and neck and ENT surgery ,Cefazolin/Cefuroxime,,,
Gastro duodenal ,Cefazolin/Cefuroxime,,,
Appendicular/Colorectal surgery ,Cefazolin/Cefuroxime,,,
Biliary ,Cefazolin/Cefuroxime,,,
Abdominal/Vaginal hysterectomy/Caesarean section ,Cefazolin/Cefuroxime,,,
Urologic surgery ,Cefuroxime (or as guided by urine culture),,,
Orthopaedic Surgery,Cefazolin/Cefuroxime,,,
Cardiovascular/Vascular Surgery ,Cefazolin/Cefuroxime,,,
,,,,
,,,,
,,,,
Drug,Standard Dose,Weight Based Dose,Duration for Bolus ,Duration for infusion
Cefazolin,"< 80 kg: 1 gm, 80-120 kg: 2 gm, > 120 kg: 3 gm",20-30 mg/kg/dose,3-5 mins ,20-60 mins
Cefuroxime,1.5 gm,50 mg/kg,3-5 mins ,20-60 mins
Metronidazole,0.5 gm - 1 gm,15 mg/kg initial dose ,,30-60 mins
Vancomycin,1 gm,15 mg/kg initial dose ,,60 mins
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Note:,,,,
1. Add Metronidazole for clean contaminated wounds,,,,
2. Alternative in case of β-lactum allergy:Clindamycin/Vancomycin,,,,
3. Usual no. of doses ≤3: for CABG:≤ 6,,,,
4. Perioperative Antibiotic protocol to be followed only for clean and clean contaminated surgeries,,,,
,,,,
,,,,
Note:,,,,
1. Timing of Surgical Prophylaxis :'Golden Hour' (60 mins prior to incision time),,,,
2. Incision and Closure time of the surgeries in surgeon's operative records is mandatory,,,,
3. For Surgeries extending 3 hrs of incision or 4 hrs of antibiotic administration or if blood loss is more than 1.5 L an additional dose of Inj. Cefazolin/Cefuroxime is administered. Repeat every 4 hrs subsequently when duration exceeds (half life of Cefazolin: 1.2 - 2.2 hrs; Half life of Cefuroxime :1-2 hrs),,,,
4. Pre-Operative is not required to be adjusted as per Cr Cl in renal insufficiency,,,,
5. Repeat dose is not required in renal insufficiency.,,,,
6. For MRSA colonizers add single dose of Vancomycin in addition to the Prophylaxis,,,,
7. Duration of Post-operative antibiotic usage is recommended for 24 - 48 hrs,,,,
